target,name,phone,website,rating,reviews
Restaurant Lyon,Carmelo,0973034388,https://www.bigmammagroup.com/fr/restaurants-italiens/carmelo?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,"4,8 étoiles ",N/A
Restaurant Lyon,Les Saveurs du Bistrot,0437241425,https://lessaveursdubistrot.fr/fr,"4,8 étoiles ",N/A
Restaurant Lyon,ART Restaurant Lyon,0951547968,https://www.art-restaurant.fr/,"4,8 étoiles ",N/A
Restaurant Lyon,Agastache Restaurant Lyon,0478523031,http://www.agastache-restaurant-lyon.fr/,"4,9 étoiles ",N/A
Restaurant Lyon,La Table d’Ambre,0472561276,https://www.latabledambre.fr/,"4,8 étoiles ",N/A
Restaurant Lyon,Le Vieux Lyon,0478424889,https://restaurant-le-vieux-lyon.com/fr,"4,5 étoiles ",N/A
Restaurant Lyon,Ombellule,0451680890,https://www.ombellule.fr/,"4,8 étoiles ",N/A
Restaurant Lyon,Maison Moly,0478088952,https://www.maisonmoly.fr/,"4,9 étoiles ",N/A
Restaurant Lyon,Monsieur P,0481187024,https://www.monsieurp.fr/,"4,8 étoiles ",N/A
Restaurant Lyon,LE COMPTOIR LIBANAIS - Restaurant Libanais Lyon 6ème,0472159321,https://www.comptoirlibanais-lyon.fr/,"4,9 étoiles ",N/A
Restaurant Lyon,Le Bouchon des Cordeliers,0478033353,http://www.bouchondescordeliers.com/,"4,7 étoiles ",N/A
